Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-04,267.55126953125,270.13192095291885,266.62578150330285,268.6725050446264,1963682
2010-01-05,267.6224365234375,270.3632705927609,265.73589573370964,268.74369373720907,2014488
2010-01-06,261.5712890625,267.7470686025925,260.9127866268675,267.62247238126776,3349176
2010-01-07,254.2921600341797,263.19096152297953,253.0819143414671,261.80273980049094,6474892
2010-01-08,249.09532165527344,255.7516315108347,247.92068385149113,254.86175109500022,6048178
2010-01-11,254.2208709716797,256.32097430863087,249.30873871717884,250.59015696597677,4318408
2010-01-12,266.9818420410156,268.3878570430568,258.77715128687305,260.5569116120922,9027690
2010-01-13,280.68597412109375,283.48021064380924,265.05969274941265,265.1842672719897,10910272
2010-01-14,277.5892028808594,284.2099241744965,273.8517062834413,284.2099241744965,10327614
2010-01-15,281.7004699707031,284.6192594925562,274.8839793073551,283.3378407622592,7945008
2010-01-18,285.5447082519531,295.08421782444134,282.269945397807,284.7616094807637,7261084
2010-01-19,277.8916931152344,285.54466007893046,277.16199595916135,285.54466007893046,5154850
2010-01-20,277.428955078125,281.98513563647913,274.40336354066403,281.98513563647913,4347054
2010-01-21,274.3144836425781,281.89625872584486,273.335615406519,274.8839982896851,5089504
2010-01-22,269.75830078125,272.3033670854228,265.0775435196471,270.8795586300742,7574990
2010-01-25,269.1709899902344,272.4813402688921,263.8139150785968,269.6337233882244,3008286
2010-01-27,265.2806701660156,271.13377058139366,264.1564613541255,267.6718766204637,4844398
2010-01-28,264.7276611328125,270.5093818498875,259.7132756830286,267.49360568795817,6537196
2010-01-29,262.7468566894531,264.03167365995034,254.16351168640355,261.9616810816139,5473326
2010-02-01,266.2978820800781,272.240185691199,256.96504566654903,262.08649307176336,3378012
2010-02-02,263.5320129394531,272.18674086806186,262.31855783618147,269.45647777730204,4739188
2010-02-03,268.72467041015625,270.1344130374778,262.49683495897847,265.53044895918424,2977676
2010-02-04,263.6390686035156,269.063891934777,261.4263091388061,268.72483639222276,2716612
2010-02-05,258.2142028808594,262.31850603653305,255.75161227417573,262.31850603653305,4607118
2010-02-08,258.4462585449219,262.22934759897487,252.7359222923413,260.17719550820374,4170344
2010-02-09,262.3720703125,264.7989584524588,257.3398242716908,258.74956765209055,3005894
2010-02-10,261.3548583984375,265.4234802967603,259.8558912894135,264.0672802583849,2337374
2010-02-11,265.06671142578125,266.9404157641588,262.3186073728528,263.3714551196302,2413156
2010-02-15,266.2978820800781,267.6719225693219,263.5854601947909,267.6719225693219,1956482
2010-02-16,270.5806884765625,273.00757671688893,264.8881933961547,266.6905136887324,1660490
2010-02-17,270.759033203125,274.07816010300206,268.58195554560217,272.9896321658371,2528290
2010-02-18,270.812744140625,273.7214559380579,269.634991420249,271.2410237980003,1814806
2010-02-19,267.8683166503906,271.06254054338893,266.17306047187697,269.42082748379477,2215880
2010-02-22,270.25946044921875,272.56144370304924,269.0281650545466,270.17023646095555,2143460
2010-02-23,271.9904479980469,273.0254551688314,268.11813489618896,270.88407904986013,1853052
2010-02-24,273.15032958984375,275.0597361528356,268.42145785466846,269.8133608900008,4076058
